id,industry,description
62,Professional & Commercial Services,"The industry includes entities that rely on the unique skills and knowledge of their employees to serve a range of clients. Services are often provided on an assignment basis, where an individual or team is responsible for the delivery of services to clients. Offerings include, but are not limited to, management and administration consulting services, such as staffing and executive search services; legal, accounting, and tax preparation services; and financial and non-financial information services. Non-financial information service providers may specialise in an array of topics such as energy, healthcare, real estate, technology, and science. Financial information service entities include credit and rating agencies as well as data and portfolio analytics providers. Customers of professional and commercial service providers include private and public for-profit institutions and non-profit organisations."
63,Electronic Manufacturing Services & Original Design Manufacturing,"The Electronic Manufacturing Services (EMS) & Original Design Manufacturing (ODM) industry consists of two main segments. EMS entities provide assembly, logistics and after-market services for original equipment manufacturers. ODM entities provide engineering and design services for original equipment manufacturers and may own significant intellectual property. Although EMS & ODM entities produce equipment for a variety of sectors, the industry is associated closely with the Hardware industry, which consists of entities that design technology hardware products such as personal computers, consumer electronics and storage devices for both personal consumers and businesses."
64,Hardware,"Hardware industry entities design and sell technology hardware products, including computers, consumer electronics, communications equipment, storage devices, components and peripherals. Many entities in the industry rely heavily upon the Electronic Manufacturing Services & Original Design Manufacturing (EMS & ODM) industry for manufacturing services. The industry is expected to continue to grow as technology use rapidly increases, especially among emerging market consumers."
65,Internet Media & Services,"The Internet Media & Services industry consists of two main segments. Entities in the Internet Media segment provide search engines and internet advertising channels, online gaming, and online communities such as social networks, as well as content, which is usually easily searchable, such as educational, medical, health, sports or news content. Entities in the internet-based Services segment sell services mainly through the internet. The industry generates revenue primarily from online advertising, usually on free content, with other revenue sources being subscription fees, content sales or the sale of user information to third parties."
66,Semiconductors,"Semiconductors industry entities design or manufacture semiconductor devices, integrated circuits, their raw materials and components, or capital equipment. Some entities in the industry provide outsourced manufacturing, assembly or other services for designers of semiconductor devices."
67,Software & IT Services,"The Software & Information Technology (IT) Services industry offers products and services globally to retail, business and government customers, and includes entities that develop and sell applications software, infrastructure software and middleware. The industry generally is competitive but with dominant players in some segments. Although relatively immature, the industry is characterised by high-growth entities that place a heavy emphasis on innovation and depend on human and intellectual capital. The industry also includes IT services entities delivering specialised IT functions, such as consulting and outsourced services. New industry business models include cloud computing, software as a service, virtualisation, machine-to-machine communication, big data analysis and machine learning. Additionally, brand value is important for entities in the industry to scale and achieve network effects, whereby wide adoption of a particular software product may result in self-perpetuating growth in sales."
68,Telecommunication Services,"Telecommunication Services industry entities provide a range of services from wireless and wireline telecommunications to cable and satellite services. The wireless services segment provides direct communication through radio-based cellular networks and operates and maintains the associated switching and transmission facilities. The wireline segment provides local and long-distance voice communication via the Public Switched Telephone Network. Wireline carriers also offer voice over internet protocol (VoIP) telephone, television and broadband internet services over an expanding network of fibre optic cables. Cable providers distribute television programming from cable networks to subscribers. They typically also provide consumers with video services, high-speed internet service and VoIP. Traditionally, these services are bundled into packages that charge subscribers a single payment. Satellite entities distribute TV programming through broadcasting satellites orbiting the earth or through ground stations. Entities serve customers primarily in their domestic markets, although some entities operate in more than one country."
69,Air Freight & Logistics,"Air Freight & Logistics industry entities provide freight services and transportation logistics to both businesses and individuals. The industry consists of three main segments: air freight transportation, post and courier services, and transportation logistics services. Entities in the industry earn revenue from one or more of the segments and range from non-asset-based to asset-heavy. Transportation logistics services include contracting with road, rail, marine and air freight entities to select and hire appropriate transportation. Services also may include customs brokerage, distribution management, vendor consolidation, cargo insurance, purchase order management and customised logistics information. The industry is crucial to global trade, granting it a degree of demand stability."
70,Airlines,"Airlines industry entities provide air transportation globally to passengers for both leisure and business purposes. This includes commercial full-service, low-cost and regional airlines. Full-service carriers typically use a hub-and-spoke model to design their routes within countries and internationally. Low-cost carriers usually offer a smaller number of routes as well as no-frills service to their customers. Regional carriers typically operate under contract to full-service carriers, expanding the network of the larger carriers. Many airline entities also have a cargo segment in their operations to generate additional revenue. Entities in the industry commonly form partnerships or join alliances to increase network size. Operating as an alliance allows airlines to offer customers access to international or otherwise underserved itineraries on more than one airline under one ticket. At the same time, airlines share some overhead costs and increase their competitive position in the global market without having to operate outside their home country."
71,Auto Parts,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
72,Automobiles,"Automobiles industry entities manufacture passenger vehicles, light trucks and motorcycles. Industry players design, build and sell vehicles that use a range of traditional and alternative fuels and powertrains. They sell these vehicles to dealers for consumer retail sales as well as sell directly to fleet customers, including car rental and leasing entities, commercial fleets and governments. Because of the industry’s global nature, nearly all entities have manufacturing facilities, assembly plants and service locations in several countries around the world. The Automobiles industry is concentrated, with a few large manufacturers and a diversified supply chain. Given the industry’s reliance on natural resources and sensitivity to the business cycle, revenue is typically cyclical."
73,Car Rental & Leasing,"Entities in this industry rent or lease passenger vehicles to customers. Consumers typically rent vehicles for periods of less than a month, whereas leases may last a year or more. The industry includes car-sharing business models in which rentals are measured hourly and typically include subscription fees. Car rental entities operate out of airport locations, which serve business and leisure travellers, and out of neighbourhood locations, which mostly provide repair-shop and weekend rentals. The industry is concentrated, with several dominant market players, who operate globally using a franchise model. The growth of public transit and ride-sharing services in major metropolitan areas may represent a threat to the long-term profitability of the Car Rental & Leasing industry if customers choose to hail rides or take public transit rather than rent vehicles."
74,Cruise Lines,"Cruise Lines industry entities provide passenger transportation and leisure entertainment, including deep sea cruises and river cruises. A few large entities dominate the industry. Cruises provide a luxury resort experience for thousands of passengers at a time. The Cruise Lines industry often has been the fastest-growing segment of the travel industry, but it is very cyclical."
75,Marine Transportation,"Marine Transportation industry entities provide deep-sea, coastal or river-way freight shipping services. The industry is of strategic importance to international trade, and its revenues are tied to macroeconomic cycles. Important activities include transportation of containerised and bulk freight, including consumer goods and a wide range of commodities, and transportation of chemicals and petroleum products in tankers. Because of the industry's global scope, entities may operate under many diverse applicable jurisdictional legal and regulatory frameworks."
76,Rail Transportation,"Rail Transportation industry entities provide rail freight shipping and support services. Important activities include shipping containerised and bulk freight, including consumer goods and commodities. Rail entities typically own, maintain and operate their rail networks, which may require significant capital expenditures. The industry exhibits economies of density because of its network effects, potentially fostering natural monopoly conditions. Together with the large sunk costs of rail infrastructure, this provides a competitive advantage to incumbent entities in the industry and creates barriers to entry for new entities."
77,Road Transportation,"Road Transportation industry entities provide long- and short-haul freight trucking services. Important activities include containerised and bulk freight shipment, including consumer goods and a wide variety of commodities. Generally, the industry may be categorised two ways: truckload (vehicles carrying the goods of only one customer) and less-than-truckload (vehicles carrying the goods of multiple customers). Owner-operators comprise the vast majority of the industry because of the relative ease of entry. A few large operators maintain market share through contracts with major shippers. Large entities often subcontract with owner-operators to supplement their owned fleet."
